GREasting,GRNorthing,NumberofVehicles,Time,1st_Road,Road_Surface,LightingConditions,WeatherConditions,TypeofVehicle,CasualtyClass,Sex,Age,Severity
1081,357,2,835,11,0,5,1,9,0,1,18,1
1036,260,3,901,51,0,5,1,0,0,1,33,2
1036,260,3,901,51,0,5,1,0,0,0,22,2
1249,995,1,1700,51,0,2,1,0,1,0,14,2
534,1009,2,1145,51,0,5,1,11,0,1,21,2
978,4,2,1920,18,0,1,1,0,0,0,46,2
1299,22,2,745,49,0,2,1,0,0,1,52,2
159,644,1,1100,51,0,5,1,0,1,1,60,1
508,62,2,1540,18,0,5,1,0,0,1,50,2
508,62,2,1540,18,0,5,1,0,2,1,51,2
242,721,2,1730,51,0,1,1,11,0,1,16,2
707,734,2,2007,3,3,1,1,15,0,1,24,2
707,734,2,2007,3,3,1,1,15,2,0,18,2
707,734,2,2007,3,3,1,1,0,0,0,29,2
1164,956,1,2015,51,0,2,1,0,1,0,5,2
1164,956,1,2015,51,0,2,1,0,1,0,37,2
781,596,2,2020,51,0,2,1,11,0,0,26,2
649,397,2,2128,51,0,2,1,0,0,1,19,2
141,1504,2,1100,23,3,5,1,0,0,0,84,2
141,1504,2,1100,23,3,5,1,0,0,1,63,2
141,1504,2,1100,23,3,5,1,0,2,0,57,2
1151,255,2,1224,5,0,5,1,13,0,1,37,2
488,1019,2,1300,51,0,5,1,11,0,1,19,2
189,137,2,1329,49,0,5,1,0,2,0,41,2
1191,1379,3,1350,51,3,5,1,0,0,1,18,2
1191,1379,3,1350,51,3,5,1,0,2,0,19,2
1191,1379,3,1350,51,3,5,1,0,0,0,22,2
670,390,2,1950,51,0,2,1,0,0,1,46,2
818,463,2,2118,51,0,2,1,11,0,1,19,2
687,662,2,645,2,3,2,1,0,0,1,33,2
1354,194,2,1115,51,0,5,1,0,1,1,13,1
1322,812,2,1530,51,0,5,1,11,0,1,30,2
438,878,2,1630,17,0,5,1,9,0,1,23,2
1152,1127,3,1903,51,3,2,1,0,0,0,26,2
1152,1127,3,1903,51,3,2,1,0,2,0,24,2
1152,1127,3,1903,51,3,2,1,0,2,1,20,2
1290,989,2,2030,51,0,2,1,0,2,0,34,2
75,1531,2,1845,25,0,1,1,11,0,1,47,2
541,191,2,1700,51,3,1,1,0,2,0,29,2
1008,1123,1,901,51,0,5,1,0,1,0,40,2
421,901,2,1205,17,0,5,1,11,0,0,42,2
447,292,1,1608,50,3,5,1,0,0,0,26,2
1432,1176,2,1640,51,3,2,1,9,0,1,27,2
279,522,2,128,51,1,2,1,0,0,1,17,1
880,517,1,955,51,0,5,1,0,1,1,52,1
837,354,2,1125,19,3,5,1,9,0,1,57,2
923,276,2,1147,50,0,5,1,0,0,0,77,2
1149,462,1,1200,51,0,5,1,0,1,1,12,2
1339,153,1,1500,20,3,5,1,0,1,1,78,1
326,1492,1,1754,25,0,1,1,11,0,1,43,2
1071,958,1,953,51,0,5,1,13,1,1,26,1
192,165,2,1232,18,0,5,1,0,0,1,45,2
743,693,2,1716,51,0,2,1,11,0,1,54,2
1256,965,2,1845,51,0,2,1,0,0,0,34,2
913,351,2,735,50,0,5,1,0,0,0,36,2
913,351,2,735,50,0,5,1,6,0,1,34,2
913,351,2,735,50,0,5,1,6,2,0,22,2
1496,1555,2,1010,1,3,5,1,0,0,0,21,1
1472,1443,2,1855,51,0,2,1,9,0,1,20,1
105,162,3,1900,18,3,2,1,0,0,1,27,2
105,162,3,1900,18,3,2,1,0,0,0,17,2
873,310,1,2200,51,3,2,5,0,1,0,19,2
411,910,2,200,17,3,2,1,0,0,1,67,2
411,910,2,200,17,3,2,1,15,2,1,18,2
411,910,2,200,17,3,2,1,15,2,1,25,2
411,910,2,200,17,3,2,1,15,2,1,24,2
1259,53,1,725,35,0,1,1,0,1,1,32,2
558,548,2,1510,16,0,5,1,0,0,0,36,2
1024,330,2,1445,51,0,2,1,4,0,1,23,1
190,1147,2,1045,51,3,5,1,11,0,1,41,1
963,1364,2,1730,5,3,2,5,0,0,1,49,2
1149,145,2,705,49,3,2,5,0,0,1,35,2
1169,1145,2,846,51,3,5,1,11,0,1,30,2
1443,657,2,1146,9,0,5,1,0,0,1,66,2
834,561,2,1329,51,3,5,1,9,0,1,55,2
1273,1175,2,1510,2,0,5,1,0,0,0,66,2
1273,1175,2,1510,2,0,5,1,0,2,0,31,2
41,1476,1,1823,51,0,1,1,0,1,1,13,2
937,1344,2,2144,51,0,2,1,0,0,0,40,2
937,1344,2,2144,51,0,2,1,0,2,0,49,2
510,1233,1,9,51,0,2,1,0,0,1,24,2
231,538,1,814,6,3,5,5,0,0,1,50,2
1139,262,2,710,5,3,1,5,0,0,0,59,2
1139,262,2,710,5,3,1,5,0,0,1,43,2
499,75,2,1534,19,0,5,1,0,0,0,33,2
1119,1065,2,1915,2,0,2,1,0,0,1,22,2
1157,1273,2,820,51,0,5,1,0,0,0,31,2
1157,1273,2,820,51,0,5,1,0,2,1,6,2
1157,1273,2,820,51,0,5,1,0,2,0,3,2
1332,27,2,901,49,3,5,1,0,0,1,45,2
1332,27,2,901,49,3,5,1,0,2,1,67,2
451,1246,2,840,25,0,5,1,11,0,1,28,2
940,1238,1,1200,51,0,5,1,9,1,0,40,1
940,1238,1,1200,51,0,5,1,9,0,1,24,2
1502,413,2,1230,10,0,5,1,0,0,1,80,2
1502,413,2,1230,10,0,5,1,0,2,0,78,1
1502,413,2,1230,10,0,5,1,0,0,0,60,2
1091,455,2,1315,5,0,5,1,0,0,1,42,2
1507,1550,1,1445,0,0,5,1,0,0,1,59,2
